Size,AverageYTree,AverageCascade,StdYTree,StdCascade
0.002,0.002,0.001,0.00210,0.00042
0.004,0.003,0.002,0.00069,0.00054
0.008,0.005,0.004,0.00242,0.00089
0.016,0.008,0.005,0.00144,0.00116
0.032,0.015,0.008,0.00291,0.00155
0.064,0.099,0.030,0.00826,0.00413
0.127,0.047,0.015,0.00506,0.00256
0.256,0.111,0.025,0.00750,0.00310
0.512,0.213,0.041,0.01326,0.00518
1.024,0.473,0.091,0.06842,0.01797
